index,id,company name,chemistry_detail,chemistry,format,part,cell status,cell shape,cycle_life,capacity_fade_eol,vol. energy density (wh/l),capacity_nom,v_max,v_nom,v_min,i_cont,i_peak,crate_discharge_cyclelife,weight (gr),volume (cc),i_charge_max,standard charge current (a),crate_charge_cyclelife,t_rest_h,length (mm),height (mm),width_(mm),diameter_(mm),id/date,charging_method,crate_cv_cutoff,t_cycle_dod,op_temp_discharge_min_c,t_max,t_charge_min,storage_temp_max_c,r_internal,charging_voltage_v,charge_cutoff_current_a,calendar_life_years,resistance_growth_eol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-121,ISI-121,Zenlabs / Envia,Nickel rich,NMC,Pouch,ENV 50.4 Ah,Active,Prismatic,1000,80,640,51,4.3,3.46,2.5,10.2,255,1,592,475,51,10.2,1,0.5,320,7,102,21,-,CC-CV,0.02,80%,-20,55,0,40,2.92,4.21,0.466,9,5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-122,ISI-122,Yoku Energy (Shenzhen) Co,Nickel rich,LFP,Pouch,2895129,Active,Prismatic,800,80,355,4.42,4.35,3.85,2.5,1,8.8,0.5,79,475,4.4,1,0.33,0.5,129,2.8,95,21,-,CC-CV,0.02,80%,0,60,0,40,4.96,4.28,1.237,18,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-123,ISI-123,EVE Energy,Lithium Iron Phosphate,LFP,Prismatic,LF105-73103,Active,Prismatic,3500,80,355,106.5,3.65,3.2,2.5,53.25,319.5,1,1980,475,106.5,53.25,1,0.5,200.5,36.7,130.3,21,17.10.2017,CC-CV,0.05,80%,-10,55,0,35,8.06,4.2,8.216,12.6,12.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-124,ISI-124,EVE Energy,Lithium Iron Phosphate,LFP,Prismatic,LF90K,Active,Prismatic,3500,80,318,91.5,3.65,3.2,2.5,265,681,1,1990,475,91.5,45.75,1,0.5,195.3,36.2,130.1,21,-,CC-CV,0.02,80%,0,55,-20,30,2.44,4.2,4.955,13.5,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-125,ISI-125,BMZ / TerraE,Nickel rich,NCA,Cylindrical,INR 21700 50 E,Active,Cyl,800,80,727,5,4.2,3.6,2.75,1,15,1,72,475,3.5,0.2,0.5,0.5,21.7,70.9,174,21.7,24.09.2021,CC-CV,0.02,80%,-10,55,-20,35,5.37,4.27,0.043,7.2,11.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-126,ISI-126,SKI,Nickel rich,LFP,Pouch,SKI Kia Niro,Active,Prismatic,1000,80,607,60,4.35,3.6,2.75,30,120,1,899.3,475,60,30,1,0.5,300,15,108.5,21,-,CC-CV,0.02,80%,-10,55,-10,25,1.68,4.2,2.679,17.1,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-127,ISI-127,CALB,Nickel rich,NMC,Prismatic,L148N50B,Active,Prismatic,2000,80,355,50,4.35,3.66,2.75,25,50,1,861,475,50,25,1,0.5,148,26.5,97.5,21,10.2019,CC-CV,0.02,80%,0,55,-20,25,3.66,4.26,13.379,9.9,7.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-128,ISI-128,CALB,Lithium Iron Phosphate,LFP,Prismatic,L135F72 (CAM72),Active,Prismatic,2000,80,355,72,3.65,3.2,2.5,36,72,1,1780,475,72,36,1,0.5,215,30,135,21,10.2019,CC-CV,0.02,80%,-20,55,-20,35,8.94,4.22,10.198,12.6,13.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-129,ISI-129,CALB,Lithium Iron Phosphate,LFP,Prismatic,L160F100B,Active,Prismatic,3000,80,355,100,3.65,3.2,2.5,50,100,1,1970,475,100,50,1,0.5,160,49.9,116,21,10.2019,CC-CV,0.02,80%,-20,55,-10,35,3.07,4.22,2.64,15.3,4.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-130,ISI-130,CALB,Lithium Iron Phosphate,LFP,Prismatic,LFP176Ah,Active,Prismatic,2000,80,355,176,3.65,3.2,2.5,88,176,1,3984,475,176,88,1,0.5,207,53.7,174,21,10.2019,CC-CV,0.02,80%,-20,55,0,35,8.16,4.29,5.061,12.6,12.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-131,ISI-131,CALB,Lithium Iron Phosphate,LFP,Prismatic,26650FS3,Active,Prismatic,2000,80,355,3.6,3.65,3.2,2,1.8,10.8,0.5,89,475,5.4,1.8,0.5,0.5,26,65,174,26,10.2019,CC-CV,0.02,80%,-10,55,-10,25,2.91,4.28,1.423,15.3,4.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-132,ISI-132,Samsung,Nickel rich,LFP,Prismatic,CS0495RT001A,Active,Prismatic,500,80,488,49.5,4.35,3.6,2.75,24.75,49.5,1,866,475,49.5,24.75,1,0.5,148,27,91,21,17.02.2022,CC-CV,0.02,80%,-20,55,-20,30,5.09,4.24,2.593,18,7.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-133,ISI-133,BAK,Nickel rich,LFP,Cylindrical,N21700CG-50,Active,Cyl,800,80,704,5,4.2,3.6,2.5,2.5,15,1,70,475,5,2.5,0.5,0.5,21,70,174,21,22.04.2020,CC-CV,0.01,80%,-10,55,-20,35,7.24,4.26,0.061,11.7,10.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-134,ISI-134,Panasonic,Nickel rich,LFP,Cylindrical,NCR2170‑M,Active,Cyl,500,80,755,5.02,4.2,3.6,2.5,2.51,15.8,1,70,475,5.02,2.51,0.5,0.5,21,70,174,21,01.09.2021,CC-CV,0.02,80%,0,50,-10,30,2.65,4.22,0.061,14.4,3.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-135,ISI-135,Molicel,Nickel rich,LFP,Cylindrical,INR-21700-P42B,Active,Cyl,800,80,601,4.2,4.2,3.6,2.5,4.2,26,1,70,475,6,4.2,1,0.5,21,70,174,21,-,CC-CV,0.01,80%,-20,55,-20,35,8.6,4.23,0.153,14.4,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-136,ISI-136,Molicel,Nickel rich,LFP,Cylindrical,INR-21700-P42A,Active,Cyl,800,80,615,4.2,4.2,3.6,2.5,4.2,26,2.5,70,475,6,4.2,1,0.5,21,70,174,21,-,CC-CV,0.01,80%,-10,60,-20,35,8.94,4.27,0.201,10.8,13.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-137,ISI-137,Samsung,Nickel rich,LFP,Cylindrical,INR-21700-50S,Active,Cyl,500,80,742,5,4.2,3.6,2.5,5,20,1,72,475,6,2.5,1,0.5,21,70,174,21,-,CC-CV,0.02,80%,0,55,0,25,9.05,4.29,0.09,14.4,13.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-138,ISI-138,LG Chem,Nickel rich,LFP,Pouch,A7,Active,Prismatic,500,80,524,50,4.2,3.6,2.5,50,179,1,895,475,50,25,1,0.5,298,10.6,153,21,01.05.2017,CC-CV,0.02,80%,-20,55,0,35,1.41,4.26,1.565,12.6,2.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-139,ISI-139,Lishen,Nickel rich,LFP,Prismatic,C‑PR51A,Active,Prismatic,500,80,481,51,4.2,3.6,2.5,51,188,1,911,475,51,25.5,1,0.5,148,28,98,21,-,CC-CV,0.02,80%,-10,60,-20,25,6.35,4.23,6.127,12.6,9.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-140,ISI-140,LG Chem,Nickel rich,LFP,Pouch,E61V,Active,Prismatic,500,80,641,61,4.2,3.6,2.5,30.5,61,0.5,875,475,61,20.13,0.33,0.5,355,11.4,110,21,01.04.2021,CC-CV,0.02,80%,0,55,0,30,4.25,4.28,0.727,16.2,6.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-141,ISI-141,LG Chem,Nickel rich,LFP,Pouch,E66A,Active,Prismatic,500,80,648,65,4.2,3.657,2.5,32.5,65,0.5,897,426,65,21.45,0.33,0.5,350,11.7,104,21,01.11.2020,CC-CV,0.02,80%,-10,55,0,40,6.07,4.21,1.437,16.2,9.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-142,ISI-142,LG Chem,Nickel rich,LFP,Pouch,E63,Active,Prismatic,1000,80,355,65.6,4.2,3.6,2.5,32.8,65.6,0.5,964,475,65.6,21.648,0.33,0.5,325,11.5,125,21,26.02.2018,CC-CV,0.02,80%,-10,55,-10,40,5.86,4.24,2.246,10.8,8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-143a,ISI-143,Samsung,Nickel rich,LFP,Cylindrical,INR21700-48X,Active,Cyl,1500,70,355,4.8,4.2,3.6,2.5,0.96,4.8,1,72,475,4.8,1.584,1,0.5,21,70,174,21,2020,CC-CV,0.02,80%,0,50,-10,35,5.91,4.28,0.131,14.4,10.3425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-143b,ISI-143,Samsung,Nickel rich,LFP,Cylindrical,INR21700-48X,Active,Cyl,500,70,355,4.8,4.2,3.6,2.5,0.96,4.8,1,72,475,4.8,1.584,1,0.5,21,70,174,21,2020,CC-CV,0.02,100%,-20,50,0,25,8.83,4.25,0.116,10.8,15.4525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-144,ISI-144,LG Chem,Nickel rich,LFP,Pouch,E63B,Active,Prismatic,1200,65,355,63,4.2,3.6,2.5,31.5,63,1,882,475,63,18.9,0.33,0.5,301,14.5,100,21,-,CC-CV,0.02,80%,-10,55,0,35,7.13,4.3,0.314,18,13.36875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-145,ISI-145,LG Chem,Nickel rich,NMC712,Pouch,E78,Active,Prismatic,1500,80,355,78,4.2,3.6,2.5,23.4,78,0.33,965,475,78,23.4,0.33,0.5,530,8.5,100,21,2022,CC-CV,0.02,80%,0,55,0,25,4.32,4.23,1.384,9.9,7.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-146,ISI-146,A123,Lithium Iron Phosphate,LFP,Pouch,A123 20AH,Active,Prismatic,1000,80,355,20,3.65,3.3,2.5,4,20,1,496,475,20,4,1,0.5,227,7.25,160,21,-,CC-CV,0.02,80%,0,50,-20,40,3.83,4.29,2.436,10.8,5.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-147,ISI-147,LG Chem,Nickel rich,NMC,Pouch,NX2.1,Active,Prismatic,1000,80,355,60,4.2,3.6,2.5,12,120,0.33,820,475,60,12,0.33,0.5,330,16.5,100,21,-,CC-CV,0.02,80%,-20,50,-20,40,6.49,4.28,2.709,7.2,12.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-148,ISI-148,CALB,Lithium Iron Phosphate,LFP,Prismatic,CA400,Active,Prismatic,2000,80,355,400,3.65,3.2,2.5,120,800,0.3,13600,475,400,120,0.3,0.5,450,71,275,21,-,CC-CV,0.02,80%,0,55,0,25,1.81,4.26,3.704,18,2.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-149,ISI-149,CALB,Lithium Iron Phosphate,LFP,Prismatic,CAM72,Active,Prismatic,2000,80,355,72,3.65,3.2,2.5,21.6,216,0.3,1900,475,72,21.6,0.3,0.5,68,29,216,21,-,CC-CV,0.02,80%,-20,60,-10,30,4.15,4.26,6.695,12.6,6.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-150,ISI-150,Melasta,Lithium Iron Phosphate,LFP,Prismatic,MB-LFP-32173128,Active,Prismatic,2000,80,355,60,3.65,3.2,2,12,180,0.2,1410,475,120,12,0.2,0.5,173,32,124,21,-,CC-CV,0.02,80%,-10,55,-10,30,8.82,4.27,8.077,17.1,13.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-151,ISI-151,Melasta,Lithium Iron Phosphate,LFP,Cylindrical,MB-IFR26650,Active,Cyl,2000,80,355,3.8,3.65,3.2,2,0.76,11.4,0.2,92,475,3.8,0.76,0.2,0.5,26.5,65.2,174,26.5,-,CC-CV,0.02,80%,0,55,0,40,3.17,4.21,0.046,11.7,4.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-152,ISI-152,Melasta,Nickel rich,NMC,Pouch,SLPBB042126,Active,Prismatic,100,80,355,6.55,4.2,3.7,2.5,1.31,98.25,15,126,475,13.1,1.31,0.5,0.5,127,10.2,42,21,-,CC-CV,0.02,80%,-20,55,-10,40,1.88,4.25,1.181,7.2,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-153,ISI-153,Kokam,Nickel rich,NMC,Pouch,SLPB70205130P,Active,Prismatic,1400,80,355,12,4.2,3.7,2.7,12,180,0.5,345,475,36,12,0.5,0.5,208,130,7,21,28.04.2011,CC-CV,0.05,80%,-10,60,-10,30,5.15,4.27,1.46,9,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-154,ISI-154,Saft,Nickel rich,LFP,Prismatic,INT 176065 ISR FL,Active,Prismatic,2250,80,355,5.6,4.2,3.65,2.5,2.8,11,0.5,155,475,5.6,5.6,1,0.5,63,74,20.6,21,12.202,CC-CV,0.02,100%,0,50,0,35,2.03,4.29,0.794,15.3,3.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-155,ISI-155,Saft,Nickel rich,LFP,Prismatic,MP 144350 XLR,Active,Prismatic,1100,80,335,2.6,4.2,3.65,2.5,1.3,5,0.5,66,475,2.6,2.6,1,0.5,42.9,50.1,14.5,21,4.2018,CC-CV,0.02,100%,-10,55,0,35,5.29,4.27,5.776,11.7,7.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-156,ISI-156,Saft,Nickel rich,LFP,Prismatic,MP 176065 ISE,Active,Prismatic,1000,80,264,5.6,4.2,3.65,2.5,2.8,11,0.5,135,475,5.6,5.6,0.5,0.5,60.5,68.7,19.05,21,7.2009,CC-CV,0.02,100%,0,60,0,25,2.98,4.24,7.428,10.8,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-157a,ISI-157,Gaia,Nickel rich,NCA,Cylindrical,HP 602030,Active,Cyl,1000,80,282,45,4.2,3.6,3,90,450,0.5,1500,475,180,45,0.5,0.5,60,232,174,60,6.2009,CC-CV,0.02,80%,-20,60,-10,35,9.81,4.23,0.112,7.2,21.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-157b,ISI-157,Gaia,Nickel rich,NCA,Cylindrical,HP 602030,Active,Cyl,2000,60,282,45,4.2,3.6,3,90,450,0.5,1500,475,180,45,0.5,0.5,60,232,174,60,6.2009,CC-CV,0.02,60%,-10,55,-10,35,3.83,4.3,0.212,9.9,13.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-158,ISI-158,Keeppower,Nickel rich,LFP,Cylindrical,NH2140,Active,Cyl,500,70,355,4,4.2,3.7,2.5,0.8,35,1,69,475,4,0.05,1,0.5,21.5,70.3,174,21.5,-,CC-CV,0.02,80%,0,50,-20,30,2.25,4.23,0.174,12.6,3.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-159a,ISI-159,Panasonic,Nickel rich,LFP,Cylindrical,NCR18650BF,Active,Cyl,500,80,677,3.35,4.2,3.6,2.5,3.25,3.25,1,46.5,475,1.625,1.625,0.5,0.5,18.24,65.1,174,18.24,-,CC-CV,0.02,80%,-20,50,-10,40,6.04,4.25,0.137,11.7,9.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-159b,ISI-159,Panasonic,Nickel rich,LFP,Cylindrical,NCR18650BF,Active,Cyl,500,80,600,2.965,4.1,3.6,2.5,3.25,3.25,1,46.5,475,1.625,1.625,0.5,0.5,18.24,65.1,174,18.24,-,CC-CV,0.02,80%,-10,55,0,30,8.34,4.27,0.128,10.8,12.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-160a,ISI-160,Panasonic,Nickel rich,NCA,Prismatic,NCA596080,Active,Prismatic,300,80,506,4.179,4.2,3.6,2.75,3.94,3.94,0.5,67,475,2.758,2.758,0.8,0.5,60,80,5.85,21,-,CC-CV,0.02,80%,-20,55,-20,35,3.5,4.28,4.344,9.9,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-160b,ISI-160,Panasonic,Nickel rich,NCA,Prismatic,NCA596080,Active,Prismatic,300,80,506,3.95,4.2,3.6,2.75,3.94,3.94,0.5,67,475,2.758,2.758,0.8,0.5,60,80,5.85,21,-,CC-CV,0.02,80%,-10,55,0,25,7.95,4.25,3.663,9.9,17.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-161,ISI-161,Samsung,Nickel rich,NMC,Cylindrical,INR21700-30T,Active,Cyl,250,60,355,3,4.2,3.6,2.5,0.6,35,12,69,475,4,1.5,1.5,0.5,21.22,70.3,174,21.22,Version No. 2.0,CC-CV,0.02,80%,0,50,-10,35,3.31,4.24,0.12,10.8,9.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-162,ISI-162,Hypercell,Nickel rich,LFP,Cylindrical,NCR20700,Active,Cyl,300,70,355,4.25,4.25,3.6,2.5,0.85,3.4,1,70,475,4.05,2.125,1,0.5,20.5,74,174,20.5,29.09.2018,CC-CV,0.02,80%,0,50,-20,35,5.63,4.22,0.039,12.6,9.8525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-163,ISI-163,Panasonic,Nickel rich,LFP,Pouch,UPF673791,Active,Prismatic,500,80,449,2.9,4.2,3.7,2.75,2.9,2.9,1,51,475,2.9,2.9,1,0.5,37.3,91.7,6.7,21,-,CC-CV,0.02,80%,-10,55,-20,25,4.37,4.26,1.912,15.3,6.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-164,ISI-164,Kokam,Nickel rich,LFP,Pouch,SLPB65216216,Active,Prismatic,800,80,355,30,4.2,3.7,2.7,30,150,0.5,700,475,30,30,0.5,0.5,220,215,6.8,21,-,CC-CV,0.02,80%,0,50,0,25,4.92,4.28,2.006,11.7,7.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-165,ISI-165,Kokam,Nickel rich,LFP,Pouch,SLPB90216216,Active,Prismatic,800,80,355,40,4.2,3.7,2.7,40,200,0.5,935,475,40,40,0.5,0.5,220,215,9,21,-,CC-CV,0.02,80%,-10,60,-20,40,3.18,4.21,2.634,16.2,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-166,ISI-166,Kokam,Nickel rich,LFP,Pouch,SLPB53460330,Active,Prismatic,800,80,355,70,4.2,3.7,2.7,70,350,0.5,1700,475,70,70,0.5,0.5,325,455,5.3,21,-,CC-CV,0.02,80%,0,60,-10,25,7.56,4.23,0.62,15.3,11.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-167,ISI-167,Kokam,Nickel rich,LFP,Pouch,SLPB30205130H,Active,Prismatic,800,80,355,5,4.2,3.7,2.7,25,50,0.5,164,475,10,10,0.5,0.5,130,206,3.1,21,-,CC-CV,0.02,80%,-10,60,0,30,7.68,4.26,2.467,16.2,11.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-168,ISI-168,Kokam,Nickel rich,LFP,Pouch,SLPB41205130H,Active,Prismatic,800,80,355,7.5,4.2,3.7,2.7,37.5,75,0.5,226,475,15,15,0.5,0.5,130,206,4.2,21,-,CC-CV,0.02,80%,-10,60,-10,40,2.23,4.21,0.885,17.1,3.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-169,ISI-169,Kokam,Nickel rich,LFP,Pouch,SLPB11043140H,Active,Prismatic,500,80,355,4.8,4.2,3.7,2.7,96,192,0.5,115,475,14.4,14.4,0.5,0.5,140,42.5,11,21,-,CC-CV,0.02,80%,-20,50,0,40,2.43,4.22,1.95,14.4,3.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-170,ISI-170,Kokam,Nickel rich,LFP,Pouch,SLPB45205130P,Active,Prismatic,800,80,355,7.2,4.2,3.7,2.7,14.4,144,0.5,226,475,21.6,21.6,0.5,0.5,130,206,4.5,21,-,CC-CV,0.02,80%,0,55,0,30,1.52,4.22,3.741,11.7,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-171,ISI-171,ENERTECH,Nickel rich,"NMC, NCA, NMC/NCA",Pouch,SPB 58253172P4,Active,Prismatic,2000,80,366,25,4.2,3.7,2.7,12.5,75,1,500,475,125,12.5,1,0.5,253,5.8,172,21,-,CC-CV,0.02,80%,-20,55,-20,25,2.82,4.27,1.528,10.8,5.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-172,ISI-172,Amita Technologies,Nickel rich,NMC,Prismatic,120155250NH - NH04,Active,Prismatic,3000,80,398,50,4.2,3.7,2.8,9,180,1,930,475,180,9,3,0.5,251,12.5,157,21,18.06.2020,CC-CV,0.05,80%,-10,55,-10,35,8.84,4.24,10.84,9.9,17.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-173,ISI-173,BMZ / TerraE,Nickel rich,LFP,Cylindrical,INR 21700 58 E,Active,Cyl,800,80,355,5.7,4.2,3.6,2.75,1.14,15,1,75,475,5.7,1.14,0.5,0.5,21.7,70.9,174,21.7,24.02.2022,CC-CV,0.02,80%,-20,60,-10,25,8.12,4.29,0.175,14.4,12.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-174,ISI-174,Yinglong,Lithium Titanate,LTO,Cylindrical,LTO 9Ah,Active,Cyl,16000,80,170,9,2.7,2.3,1.5,1.8,90,1,270,475,90,1.8,1,0.5,33.2,140,174,33.2,-,CC-CV,0.02,80%,0,60,-20,35,5.01,4.23,0.106,14.4,7.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-175,ISI-175,Yinglong,Lithium Titanate,LTO,Cylindrical,LTO 40Ah,Active,Cyl,25000,80,128,40,2.7,2.3,1.5,8,240,1,1210,475,240,8,1,0.5,66,161,174,66,-,CC-CV,0.02,80%,0,60,-20,35,5.11,4.24,0.075,16.2,7.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-176,ISI-176,Yinglong,Lithium Titanate,LTO,Cylindrical,LTO 45Ah,Active,Cyl,25000,80,144,45,2.7,2.3,1.5,9,225,1,1270,475,225,9,1,0.5,66,161,174,66,-,CC-CV,0.02,80%,0,60,-10,30,6.96,4.25,0.156,16.2,9.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-177,ISI-177,Yinglong,Lithium Titanate,LTO,Prismatic,LTO 30Ah,Active,Prismatic,16000,80,152,30,2.7,2.3,1.5,6,180,1,1030,475,180,6,1,0.5,97,173,28.5,97,-,CC-CV,0.02,80%,-20,50,-10,25,4.54,4.24,5.586,17.1,6.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-178,ISI-178,Yinglong,Lithium Titanate,LTO,Prismatic,LTO 33Ah,Active,Prismatic,16000,80,142,33,2.7,2.3,1.5,6.6,198,1,1245,475,198,6.6,1,0.5,130,205,21,130,-,CC-CV,0.02,80%,0,55,-10,30,6.95,4.25,6.768,22.5,9.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-179,ISI-179,Yinglong,Lithium Titanate,LTO,Pouch,LTO 68Ah,Active,Prismatic,25000,80,182,68,2.7,2.3,1.5,13.6,476,1,1880,475,476,13.6,1,0.5,256,263,12.6,256,-,CC-CV,0.02,80%,0,50,0,35,1.8,4.29,0.54,20.7,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-180,ISI-180,ELERIX,Lithium Titanate,LTO,Prismatic,EX-T30K,Active,Prismatic,16000,80,147,30,2.7,2.3,1.5,6,180,1,1030,475,180,6,1,0.5,97,173,28,97,-,CC-CV,0.02,80%,-10,60,-20,35,5.63,4.26,1.393,19.8,7.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-181,ISI-181,-,Lithium Titanate,LTO,Pouch,LTO 21Ah,Active,Prismatic,25000,80,355,21,2.7,2.3,1.5,4.2,126,1,668,475,126,4.2,1,0.5,120,295,10.5,120,-,CC-CV,0.02,80%,-20,55,-20,30,2.6,4.27,0.688,16.2,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-182,ISI-182,-,Nickel rich,LFP,Pouch,E78,Active,Prismatic,2000,80,355,78,4.2,3.6,2.5,15.6,234,0.33,1110,475,78,39,0.33,0.5,510,8,98,21,2022,CC-CV,0.02,80%,-20,55,-20,30,7.46,4.24,0.567,10.8,11.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-183,ISI-183,EVE Energy,Nickel rich,NMC,Pouch,D11,Active,Prismatic,3000,80,355,43,4.2,3.63,2.7,8.6,137.6,1,743,475,43,8.6,1,0.5,188,10.8,174,21,-,CC-CV,0.02,80%,0,60,-20,35,5.61,4.25,2.563,10.8,11.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-184,ISI-184,EVE Energy,Nickel rich,NMC,Pouch,D12,Active,Prismatic,3000,80,355,30,4.2,3.68,2.7,6,90,1,552,475,30,6,1,0.5,227,7.2,165,21,-,CC-CV,0.02,80%,-10,50,-20,30,7.34,4.24,1.134,8.1,14.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-185,ISI-185,EVE Energy,Nickel rich,NMC,Pouch,D13,Active,Prismatic,3000,80,355,51,4.2,3.7,2.7,10.2,102,1,800,475,51,10.2,1,0.5,227,10.5,165,21,-,CC-CV,0.02,80%,0,55,-20,30,6.46,4.21,0.73,8.1,12.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
