index,id,company name,chemistry_detail,chemistry,format,part,cell status,cell shape,cycle_life,capacity_fade_eol,vol. energy density (wh/l),capacity_nom,v_max,v_nom,v_min,i_cont,i_peak,crate_discharge_cyclelife,weight (gr),volume (cc),i_charge_max,standard charge current (a),crate_charge_cyclelife,t_rest_h,length (mm),height (mm),width_(mm),diameter_(mm),id/date,charging_method,crate_cv_cutoff,t_cycle_dod,op_temp_discharge_min_c,t_max,t_charge_min,storage_temp_max_c,r_internal,charging_voltage_v,charge_cutoff_current_a,calendar_life_years,resistance_growth_eol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-045,ISI-045,A123,Nickel rich,NMC,Pouch,A123 32AH,Active,Prismatic,2500,80,355,32,4.2,3.65,2.7,32,192,1,561,475,64,32,1,0.5,227,7.5,161,21,2018,CC-CV,0.02,80%,-20,55,0,40,3.21,4.22,0.472,7.2,6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-046,ISI-046,A123,Lithium Iron Phosphate,LFP,Pouch,AMP20M1HD-A,Active,Prismatic,3000,90,247,19.6,3.65,3.3,2.5,3.92,360,2,496,475,300,3.92,1,0.5,227,7.5,161,21,"MD100105-02, 2011",CC-CV,0.02,100%,0,50,-10,40,3.94,4.27,0.764,12.6,4.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-047,ISI-047,AutoEnergy,Lithium Iron Phosphate,LFP,Cylindrical,50Ah 55380,Active,Cyl,500,80,355,50,3.65,3.2,2.5,10,10,1,1550,475,4,10,1,0.5,55,380,174,55,2021,CC-CV,0.05,80%,-20,55,-20,35,9.02,4.27,0.111,14.4,13.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-048,ISI-048,BAK,Nickel rich,NMC811,Cylindrical,N21700CB-48,Active,Cyl,1000,80,355,4.8,4.2,3.6,2.5,0.96,14.4,1,70,475,4.8,0.96,0.5,0.5,21,70,174,21,P/PR03/PB-D-N21700CB-48-LS ,CC-CV,0.02,80%,-20,60,-20,35,5.3,4.24,0.121,10.8,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-049,ISI-049,BAK,Nickel rich,NMC,Cylindrical,26650HC2,Active,Cyl,1000,80,355,5,4.2,3.6,2.5,2.5,10,1,95,475,5,2.5,1,0.5,26,65,174,26,2021,CC-CV,0.02,80%,-20,60,-20,35,8.04,4.21,0.169,9.9,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-05,ISI-05,Kokam,Nickel rich,NMC,Pouch,SLPB120216216,Active,Prismatic,4000,80,319,53,4.2,3.7,2.7,10.6,265,1,1160,475,106,10.6,1,0.5,227,12,226,21,-,CC-CV,0.02,80%,-20,60,0,25,1.75,4.3,2.069,7.2,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-050,ISI-050,CATL,Lithium Iron Phosphate,LFP,Prismatic,100Ah CATL LiFePO4,Active,Prismatic,500,80,355,100,3.65,3.2,2.5,50,100,1,2270,475,100,50,1,0.5,200,33,172,21,-,CC-CV,0.02,80%,0,55,0,40,5.03,4.23,3.886,17.1,7.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-051,ISI-051,CATL,Lithium Iron Phosphate,LFP,Prismatic,120Ah CATL LiFePO4,Active,Prismatic,500,80,355,120,3.65,3.2,2.5,24,240,1,2840,475,120,60,1,0.5,174,48,172,21,-,CC-CV,0.02,80%,-20,60,-20,25,5.36,4.21,4.686,11.7,8.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-052,ISI-052,CATL,Lithium Iron Phosphate,LFP,Prismatic,280Ah CATL LiFePO4,Active,Prismatic,12000,80,355,280,3.65,3.2,2.5,56,560,1,5340,475,280,140,1,0.5,208,72,174,21,-,CC-CV,0.02,80%,0,60,-10,35,2.83,4.28,2.659,10.8,4.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-053,ISI-053,CATL,Nickel rich,NMC 811,Prismatic,50Ah CATL 811,Active,Prismatic,3000,80,355,50,4.2,3.65,3,10,100,1,850,475,50,25,1,0.5,148,27,98,21,-,CC-CV,0.02,80%,-20,55,-20,30,8.22,4.21,3.071,9,14.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-054,ISI-054,ENERDEL,Nickel rich,NMC,Pouch,CE175-360 Moxie+,Active,Prismatic,4000,70,355,17.5,4.1,3.6,2.5,3.5,17.5,0.5,430,475,17.5,3.5,0.5,0.5,253,5.8,172,21,File No.: 07-10004-04,CC-CV,0.02,100%,-10,50,0,35,7.91,4.28,0.543,7.2,19.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-055,ISI-055,ENERDEL,Nickel rich,NMC,Pouch,CE250-370 Moxie+,Active,Prismatic,3000,80,355,17.5,4.2,3.7,2.7,3.5,52.5,2,850,475,35,3.5,2,0.5,253,5.7,172,21,File No.: 07-20001-00,CC-CV,0.02,90%,0,60,-10,30,3.58,4.24,0.763,9.9,7.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-056,ISI-056,ENERDEL,Nickel rich,NMC,Pouch,CP160-365 Moxie+,Active,Prismatic,4000,70,355,16,4.1,3.65,2.5,8,16,0.5,430,475,16,8,0.5,0.5,253,5.9,172,21,File No.: 07-10005-05,CC-CV,0.02,100%,-20,60,-20,35,6.32,4.26,2.41,7.2,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-057,ISI-057,ENERTECH,Nickel rich,"NMC, NCA, NMC/NCA",Pouch,SPB 58253172EG1 / 17Ah,Active,Prismatic,4000,80,355,17.5,4.1,3.65,2.5,5.833333333,52.5,1,430,475,35,5.833333333,1,0.5,253,5.8,172,21,-,CC-CV,0.02,80%,-20,55,-20,30,6.69,4.3,1.324,9.9,12.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-058,ISI-058,ENERTECH,Nickel rich,"NMC, NCA, NMC/NCA",Pouch,SPB 58253172P3 / 23Ah,Active,Prismatic,2500,80,355,23,4.2,3.7,2.7,11.5,115,1,470,475,69,11.5,1,0.5,253,5.8,172,21,-,CC-CV,0.02,100,0,50,0,35,7.8,4.25,2.451,9,14.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-059,ISI-059,ENERTECH,Nickel rich,"NMC, NCA, NMC/NCA",Pouch,SPB 58253172V2 / 22Ah,Active,Prismatic,4000,80,355,22,4.2,3.75,2.7,11,110,1,480,475,66,11,1,0.5,253,5.8,172,21,-,CC-CV,0.02,80%,-20,55,-10,35,7.35,4.2,1.522,10.8,13.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-06,ISI-06,Kokam,Nickel rich,NMC,Pouch,SLPB120216216G1,Active,Prismatic,6000,70,463,60,4.2,3.68,2.7,12,180,1,1140,475,120,12,1,0.5,227,12,226,21,KKDS-20200429-BM-CEL-09 ,CC-CV,0.02,90%,-10,55,-10,40,5.25,4.21,4.826,7.2,13.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISI-060,ISI-060,ENERTECH,Nickel rich,"NMC, NCA, NMC/NCA",Pouch,SPB 58253172V3 / 25Ah,Active,Prismatic,4000,80,355,25,4.2,3.7,2.7,8.3,75,1,480,475,50,8.3,1,0.5,253,5.8,172,21,-,CC-CV,0.02,80%,-20,50,-20,25,6.77,4.27,0.947,9.9,12.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
